"SAN FRANCISCO – It has never been easy to have a rational conversation about the value of gold.","SAN FRANCISCO – Es war noch nie leicht, ein rationales Gespräch über den Wert von Gold zu führen."
"In Britain, in particular, the spectacular surge of the UK Independence Party (UKIP) can only strengthen the government's long-standing latent Euroskepticism.","Vor allem in Großbritannien kann der spektakuläre Aufstieg der UK Independence Party (UKIP) nur den langjährigen latenten Euroskeptizismus verstärken. "
"The proposed constitution will contain a Charter of Fundamental Rights, which is intended to enhance the political and moral legitimacy of the EU.","In der Verfassungsvorlage wird eine Grundrechtscharta enthalten sein, die die politische und moralische Legitimation der EU verstärken soll."
"But will it really enhance the rights of EU citizens?","Wird sie allerdings auch die Rechte der EU-Bürger stärken?"
"Or, as the British government insists, will it merely be a declaratory document that only describes rights already existing under national legislation in the member states.","Oder wird sie nur, wie die britische Regierung meint, eine Willenserklärung sein, in der lediglich Rechte beschrieben werden, die ohnehin bereits in den nationalen Gesetzgebungen der Mitgliedsstaaten bestehen. "
"The draft constitution would enhance the policymaking powers of the Union, with a bit more majority voting in the Council of Ministers, and a stronger role for the European Parliament.","Der Verfassungsentwurf würde die grundsatzpolitischen Machtbefugnisse der Union verstärken, mit etwas mehr Mehrheitswahlrecht im Ministerrat und einer stärkeren Rolle des Europäischen Parlaments."
"But, despite Tony Blair's one-time declaration that he would take Britain "into the heart of Europe," he remains viscerally opposed to the prospect of further integration, and he will resist any new encroachment on British sovereignty in his "red line" areas of tax, foreign policy, and EU budget finance.","Aber trotz Tony Blairs einmaliger Erklärung, Großbritannien „in das Herz Europas" rücken zu wollen, ist er nach wie vor unvernünftigerweise gegen eine weitere Integration und wird sich gegen jede Einmischung in die britische Souveränität in „sensiblen Bereichen" wie Steuern, Außenpolitik und die Beiträge zum EU-Budget verwahren. "
"Blair's Euroskepticism is understandable insofar as it chimes with the British mood.","Blairs Euroskeptizismus ist insofern verständlich, als er mit der britischen Befindlichkeit übereinstimmt."
"Opinion polls consistently show that British voters are unenthusiastic about the EU, and the picture is confirmed by the latest Eurobarometer poll, conducted throughout the Union for the Commission - but before the recent enlargement from 15 to 25 member states.","Meinungsumfragen zeigen durchwegs, dass die britischen Wähler von der EU nur mäßig begeistert sind. Dieses Bild wird auch in der jüngsten Eurobarometer-Umfrage bestätigt, die in der ganzen Union im Auftrag der Kommission durchgeführt wurde - allerdings schon vor der Erweiterung von 15 auf 25 Mitgliedsstaaten. "
"One question always asked in this poll is whether voters tend to trust or mistrust different institutions, such as national parliaments, national governments, and the European Union.","Eine Frage, die in dieser Umfrage immer gestellt wird, ist, ob die Wähler den verschiedenen Institutionen wie nationalen Parlamenten, nationalen Regierungen und der Europäischen Union vertrauen oder nicht."
"Overall, the general level of trust in the European Union is not high: only 41% of voters tend to trust the EU, whereas 42% tend not to trust it.","Insgesamt ist das Vertrauen in die Europäische Union nicht allzu hoch: Nur 41 % der Wähler neigen dazu, der EU zu vertrauen, während 42 % dazu neigen, ihr nicht zu vertrauen."
"But in Britain, the figures are dramatically different: only 19% trust the EU, while 55% distrust it.","In Großbritannien weichen diese Zahlen dramatisch ab: Nur 19 % vertrauen der EU, während ihr 55 % misstrauen. "
"By contrast, the European Parliament has a better reputation than the EU as a whole: the average EU-wide level of trust in the European Parliament is 54%, whereas in Britain it is 30%.","Im Gegensatz dazu genießt das Europäische Parlament höheres Ansehen als die EU insgesamt: Während der durchschnittliche EU-weite Vertrauensgrad in das Europäische Parlament bei 54 % liegt, ist dieser Wert in Großbritannien nur bei 30 % angesiedelt."
"Across the EU, 48% think EU membership is a good thing; in Britain, this figure falls to 29%.","In der gesamten EU sind 48 % der Bürger der Ansicht, dass die EU-Mitgliedschaft positiv zu bewerten sei, in Großbritannien sind nur 29 % dieser Ansicht."
"On virtually every question, British voters are less enthusiastic about the EU than voters in any other country. ","Bei praktisch jeder Frage zeigen sich die britischen Wähler skeptischer als Wähler in anderen Ländern. "
"One might think that Britons' aversion to the EU would be reflected in support for, and pride in, their national institutions.","Man mag zur Ansicht gelangen, dass sich die Aversion der Briten gegenüber der EU mit ihrer Unterstützung und ihrem Stolz auf nationale Institutionen erklärt."
"Not so.","Dem ist aber nicht so."
"British trust in the European Parliament may stand at only 30%; but trust in the Westminster Parliament is much lower, at only 19% - the lowest figure in the EU.","Das Vertrauen der Briten in das Europäische Parlament mag zwar bei nur 30 % liegen, aber ihr Vertrauen in das britische Parlament ist noch viel geringer und liegt bei 19 % - was dem niedrigsten Wert innerhalb der EU entspricht."
"Trust in the national government is a bit higher, but still only 25%, while trust in national political parties is only 10%.","Das Vertrauen in die nationale Regierung ist ein bisschen höher, liegt aber trotzdem nur bei 25 %, während das Vertrauen in die nationalen politischen Parteien überhaupt nur 10 % beträgt."
"Both figures are, again, the lowest in the EU.","Beide Werte sind ebenfalls die niedrigsten in der ganzen EU."
"Voters in other states have more confidence in EU institutions, but their opinion of their own institutions is also low.","Die Wähler in anderen Staaten haben zwar mehr Vertrauen in die Institutionen der EU, aber der Glaube an ihre eigenen Institutionen ist ebenfalls gering."
"In France, 57% trust the European Parliament, but only 29% trust the French parliament; while the corresponding figures for Germany are 51% and 23%. ","In Frankreich vertrauen 57 % dem Europäischen Parlament, während der Vertrauensgrad für das französische Parlament bei nur 29 % liegt. In Deutschland liegen die entsprechenden Werte bei 51 % beziehungsweise 23 %. "
"But the puzzle in the poll is that, even if Europe's voters are unenthusiastic about the EU and its existing institutions as they stand now, 65% of them would support a common foreign policy for Europe, and 72% would support a common defense and security policy; even in Britain, there is 52% support for the idea of a common defense policy.","Der Widerspruch in der Umfrage ist allerdings, dass die europäischen Wähler der EU und ihren bestehenden Institutionen zwar nur mäßig begeistert gegenüberstehen, aber 65 % der Wähler trotzdem eine gemeinsame europäische Außenpolitik unterstützen und 72 % eine gemeinsame Verteidigungs- und Sicherheitspolitik gutheißen würden. Sogar in Großbritannien wird eine gemeinsame Verteidigungspolitik von 52 % der Wähler unterstützt."
"This may be a reaction to the American-led war in Iraq; but Tony Blair will exclude it precisely for that reason, and a common European defense policy without Britain makes little sense.","Das mag eine Reaktion auf den von den USA angeführten Krieg im Irak sein, aber Tony Blair wird eine gemeinsame Verteidigungspolitik genau aus diesem Grund ausschließen und eine gemeinsame europäische Verteidigungspolitik ohne Großbritannien hätte wenig Sinn."
"The predicament for Europe's leaders at this week's summit is that they stand at the cusp of an unstable process of European integration.","Das Dilemma der europäischen Staats- und Regierungschefs beim dieswöchigen Gipfel ist, dass sie an der Schwelle eines instabilen europäischen Integrationsprozesses stehen."
"With the accession of 10 new members, the EU must become more integrated if it is to function.","Um nach dem Beitritt von 10 neuen Mitgliedern funktionsfähig zu bleiben, muss die Integration noch weiter vorangetrieben werden."
"But it is not at all clear that those governments that would normally support more integration can sell it to their disillusioned electorates.","Es ist allerdings überhaupt noch nicht klar, wie die Regierungen, die unter normalen Umständen für eine stärkere Integration eintreten würden, dies ihren desillusionierten Wählern verkaufen können."
"Tony Blair has promised a referendum on the new EU constitution, which he cannot possibly win.","Tony Blair hat eine Volksabstimmung über die neue EU-Verfassung versprochen, die er unmöglich gewinnen kann."
"The central question will be whether Europe's "leaders" deliberately play for failure, in the hope that the problem will go away.","Die zentrale Frage wird sein, ob die europäischen Staats- und Regierungschefs bewusst auf die Verlierertaktik setzen, in der Hoffnung dass sich das Problem dadurch von selbst erledigt. "
"WASHINGTON, DC – The painfully negotiated US budget legislation that President Barack Obama signed on August 2 combines an increase in America’s government debt ceiling with reductions in federal spending, thus averting the prospect of the first default in the 224-year history of the United States.","WASHINGTON, D.C.: Das unter Schmerzen ausgehandelte US-Haushaltsgesetz, das Präsident Barack Obama am 2. August unterzeichnet hat, kombiniert eine Anhebung der Schuldengrenze der amerikanischen Regierung mit Einschnitten bei den Bundesausgaben und bannt so die Aussicht auf den ersten Zahlungsverzug in der 224-jährigen Geschichte der Vereinigten Staaten."
"But the agreement has three major flaws.","Doch die Einigung hat drei wichtige Fehler."
"Two of them offset each other, but the third threatens what America needs most in the coming years: economic growth.","Zwei davon gleichen einander aus; der dritte jedoch bedroht, was Amerika in den kommenden Jahren am meisten braucht: Wirtschaftswachstum."
"The first flaw is that the spending reductions are badly timed: coming as they do when the US economy is weak, they risk triggering another recession.","Der erste Fehler ist, dass die Ausgabeverringerungen zeitlich schlecht abgepasst sind: Da sie zu einem Zeitpunkt erfolgen, zu dem die US-Konjunktur schwach ist, riskieren sie, eine weitere Rezession auszulösen."
"The measure’s second shortcoming, however, is that the spending reductions that it mandates are modest.","Der zweite Mangel der Maßnahme ist allerdings, dass die Einschnitte bei den Ausgaben, die hier verhängt werden, bescheiden sind."
"While the legislation does too little to address America’s problem of chronic and rising budget deficits, the damage that it inflicts on the economy in the short term is likely to be limited.","Während das Gesetz zu wenig tut, um Amerikas Problem chronischer und weiter steigender Haushaltsdefizite anzugehen, dürfte der Schaden, den es der Volkswirtschaft zufügt, begrenzt sein."
"The third and most damaging flaw, however, is that the spending cuts come in the wrong places.","Der dritte und schädlichste Fehler freilich ist, dass die Ausgabesenkungen in den falschen Stellen erfolgen."
"Because the Democrats in Congress have an almost religious commitment to preserving, intact, America’s principal welfare programs for senior citizens, Social Security and Medicare, the legislation does not touch either of them.","Weil die Demokraten im Kongress eine nahezu religiöse Hingabe zum uneingeschränkten Erhalt von Amerikas wichtigsten Wohlfahrtsprogrammen für Senioren, Social Security und Medicare, an den Tag legen, lässt das Gesetz beide unberührt."
"These programs’ costs will rise sharply as the 78-million-strong baby-boom generation – those born between 1946 and 1964 – retires and collects benefits, accounting for the largest increase in government spending and prospective deficits in the years ahead.","Die Kosten dieser Programme werden steil ansteigen, wenn die 78 Millionen Menschen umfassende Baby-Boom-Generation – d.h. diejenigen, die zwischen 1946 und 1964 geboren wurden – in den Ruhestand geht und Leistungen erhält. Die größte Zunahme bei den Staatsausgaben und voraussichtlichen Defiziten der kommenden Jahre entfällt hierauf."
"And, because the Republicans in Congress have an equally strong allergy to raising any taxes, any time, under any circumstances, the bill does not rely at all on tax increases – not even for the wealthiest Americans – for the deficit reduction that it provides.","Und weil die Republikaner im Kongress eine gleichermaßen starke Allergie gegen Steuererhöhungen haben – egal wann und unter welchen Umständen –, sieht die Gesetzesvorlage keinerlei Steuererhöhungen für den in ihr vorgeschriebenen Defizitabbau vor, nicht einmal für die reichsten Amerikaner."
"All of the spending cuts come from the “discretionary” part of the federal budget, which excludes Social Security, Medicare, the Medicaid program for the poor, and interest on the national debt.","Alle Ausgabesenkungen entstammen dem „diskretionären“ Anteil des Bundeshaushalts, der Social Security, Medicare, das Medicaid-Programm für die Armen und die Zinsen auf die Staatsschuld ausklammert."
"That leaves only about one-third of total federal spending from which to cut, and much of that goes to the defense budget, which Republicans will attempt to protect in the future.","Damit bleibt für Einschnitte nur rund ein Drittel der gesamten Bundesausgaben übrig, und ein Großteil hiervon entfällt auf den Verteidigungshaushalt, den zu schützen die Republikaner sich bemühen werden."
"So the structure established by the August 2 law concentrates deficit reduction on the “discretionary non-defense” part of the federal budget, which is only about 10% of it.","Das heißt, die durch das Gesetz vom 2. August geschaffene Struktur konzentriert den Defizitabbau auf den diskretionären Teil des Bundeshaushalts abzüglich der Verteidigung, der lediglich etwa 10% des Haushaltsvolumens umfasst."
"This is too small a pool of money from which to achieve deficit reduction on the scale that the US will need in the years ahead.","Dies ist ein zu kleiner Geldpool, um daraus eine Defizitreduzierung des Umfangs zu erreichen, wie sie die USA in den kommenden Jahren brauchen werden."
"Worse yet, discretionary non-defense spending includes programs that are indispensable for economic growth – and economic growth is indispensable for America’s future prosperity and global standing.","Schlimmer noch, die diskretionären Ausgaben abzüglich der Verteidigungsausgaben umfassen Programme, die für das Wirtschaftswachstum unverzichtbar sind – und Wirtschaftswachstum ist unverzichtbar für Amerikas künftigen Wohlstand und sein globales Standing."
"Growth is, in the first place, the best way to reduce the country’s budget deficits.","Wachstum ist zunächst einmal die beste Möglichkeit, um die Haushaltsdefizite des Landes abzubauen."
"The higher the growth rate, the more revenues the government will collect without raising tax rates; and higher revenues enable smaller deficits.","Je höher die Wachstumsrate, desto mehr Einnahmen erzielt der Staat, ohne die Steuern anzuheben, und höhere Einnahmen ermöglichen kleinere Defizite."
"Moreover, economic growth is necessary to keep the promise – enormously important to individual Americans – that each generation will have the opportunity to become more prosperous than the preceding one, the popular term for which is “the American dream.”","Zudem ist wirtschaftliches Wachstum erforderlich, um das – für die einzelnen Amerikaner enorm wichtige – Versprechen zu halten, das jede Generation die Chance haben wird, wohlhabender zu werden als die vorherige. Der populäre Begriff hierfür ist „der amerikanische Traum“."
"Just as important for non-Americans, only robust economic growth can ensure that the US sustains its expansive role in the world, which supports the global economy and contributes to stability in Europe, East Asia, and the Middle East.","Genauso wichtig für Nichtamerikaner ist, dass nur ein robustes Wirtschaftswachstum gewährleisten kann, dass die USA ihre weit reichende Rolle in der Welt aufrechterhalten, die die Weltwirtschaft stützt und zur Stabilität in Europa, Ostasien und dem Nahen Osten beiträgt."
"As Thomas L. Friedman and I explain in our forthcoming book That Used To Be Us: How America Fell Behind in the World It Invented and How We Can Come Back, a crucial factor in America's economic success has been an ongoing public-private partnership, which dates back to the founding of the country, that is imperiled by the pattern of budget cuts established by the August 2 legislation.","Wie Thomas L. Friedman und ich in unserem in Kürze erscheinenden Buch That Used To Be Us: How America Fell Behind in the World It Invented and How We Can Come Back erläutern, ist ein entscheidender Faktor für Amerikas wirtschaftlichen Erfolg eine fortdauernde öffentlich-private Partnerschaft, die bis zur Gründung des Landes zurückreicht und die durch das Muster der Haushaltskürzungen, das durch das Gesetz vom 2. August begründet wird, gefährdet wird."
"That partnership has five components: wider opportunities for education in order to produce a workforce with cutting-edge skills; investment in infrastructure – roads, power plants, and ports – that supports commerce; funds for research and development to expand the frontiers of knowledge in ways that generate new products; an immigration policy that attracts and retains talented people from beyond America’s borders; and business regulations strong enough to prevent disasters such as the near-meltdown of the financial system in 2008 but not so stringent as to stifle the risk-taking and innovation that produce growth.","Diese Partnerschaft umfasst fünf Komponenten: umfassendere Ausbildungsmöglichkeiten, um eine Erwerbsbevölkerung mit Spitzenfertigkeiten hervorzubringen; Investitionen in Infrastruktur – Straßen, Kraftwerke und Häfen –, die den Handel unterstützt; Mittel für Forschung und Entwicklung, um die Grenzen des Wissens auf Weisen auszuweiten, die neue Produkte hervorbringen; eine Einwanderungspolitik, die talentierte Menschen von außerhalb der US-Grenzen anlockt und im Lande hält; und eine wirtschaftliche Regulierung, die ausreichend stark ist, um Katastrophen wie den Beinahe-GAU des Finanzsystems 2008 zu verhindern, aber nicht so stringent, dass sie jene Risikobereitschaft und Innovation erstickt, die Wachstum hervorbringt."
"The first three elements of the American formula for growth cost money, and that money is included in the “discretionary non-defense” part of the federal budget now targeted by the debt-ceiling legislation.","Die ersten drei Elemente der amerikanischen Formel kosten Geld, und dieses Geld ist im diskretionären Teil des Bundeshaushalts unter Ausschluss des Verteidigungsbereichs enthalten, der jetzt durch das Gesetz zur Schuldenbegrenzung ins Visier genommen wird."
"Cutting these programs will lower American economic growth in the long term, with negative consequences both at home and abroad.","Eine Beschneidung dieser Programme wird Amerikas Wirtschaftswachstum langfristig verringern – mit negativen Folgen sowohl zu Hause als auch im Ausland."
"Reducing the deficit by cutting funds for education, infrastructure, and research and development is akin to trying to lose weight by cutting off three fingers.","Ein Defizitabbau durch Einschnitte bei der Finanzierung von Bildung, Infrastruktur und Forschung und Entwicklung ähnelt dem Versuch, abzunehmen, indem man sich drei Finger abschneidet."
"Most of the weight will remain, and one’s life prospects will have worsened significantly.","Das meiste Gewicht bleibt, aber die weiteren Lebensaussichten verschlechtern sich erheblich."
"Reducing deficits in order to raise the debt ceiling was the right thing to do, but the August 2 law does it in the wrong way.","Ein Abbau der Defizite zur Anhebung der Schuldengrenze war richtig, aber das Gesetz vom 2. August geht diesen falsch an."
"Unless more deficit reduction, which is inevitable, comes from curbing entitlement benefits and increasing revenues, and less from programs vital for economic growth, the result will be a poorer, weaker US – and a more uncertain, if not unstable, world.","Sofern eine weitere Defizitreduzierung, die unvermeidbar ist, nicht von der Begrenzung von Leistungsansprüchen und der Erhöhung der Einnahmen ausgeht und weniger von Programmen, die für das wirtschaftliche Wachstum lebenswichtig sind, wird das Ergebnis ein ärmeres, schwächeres Amerika sein – und eine unsicherere, wenn nicht gar instabile Welt."
"EU Commission President Romano Prodi has proposed a scheme to strengthen the Union's executive.","EU-Präsident Romani Prodi hat einen Vorschlag zur Stärkung der Exekutive der Union vorgelegt."
"Britain, France, and Spain are working on an opposing plan that will consolidate EU executive powers among the biggest EU states.","Großbritannien, Frankreich und Spanien arbeiten an einem Gegenplan, der die Exekutive der größten EU-Staaten stärken soll."
"What's the ordinary European to think?","Was soll der normale Europäer davon halten?"
"Europe's citizens scarcely grasp the issues at the heart of the European Constitutional Convention in Brussels.","Es gelingt den Bürgern Europas kaum, die zentralen Themen, die vom Konvent zur Erarbeitung einer Verfassung für die EU in Brüssel debattiert werden, zu erfassen."
"Mountains of detail obscure problems; sterile, misleading national discussions that pit "Euroskeptics" against "Europhiles" muster sound and fury but clarify nothing.","Eine Fülle von Einzelheiten lässt die entscheidenden Themen untergehen; unfruchtbare, irreführende nationale Diskussionen, in denen "Euroskeptiker" gegen "Europhile" gegeneinander antreten, erzeugen zwar viel Lärm und Wut, doch für mehr Klarheit sorgen sie nicht."
"So complicated do many issues seem that some newspapers and broadcasters have abandoned reporting about the Convention.","Die Themen scheinen so kompliziert, dass selbst Zeitungen und Fernsehsender kaum mehr über die Aktivitäten des Konvents berichten."
"EU citizens can secure a clearer understanding of what the Convention should achieve by asking this question: how should governmental functions be divided between the EU and its member nations?","Die EU-Bürger könnten indes für ein klareres Verständnis dessen sorgen, was der Konvent erreichen sollte, indem sie eine einfache Frage stellen: Wie sollten die staatlichen Aufgaben zwischen der EU und ihren Mitgliedsstaaten verteilt werden?"
"To answer this, we need to grasp government's true purpose.","Um diese Frage zu beantworten, ist eine präzise Vorstellung erforderlich, was der Staat tun sollte."
"Government should provide citizens with public goods: collective defense, legislation and regulation, enforcement of the rule of law.","Der Staat sollte die Bürger in erster Linie mit Leistungen versorgen, die von öffentlichem Interesse sind: gemeinsame Verteidigung, Gesetzgebung und Regulierung, die Durchsetzung der Rechtsstaatlichkeit."
"These can be provided at different levels: local, regional, national, or supranational government, i.e., the EU.","Diese können auf verschiedenen Regierungsebenen bereitgestellt werden: lokal, regional, national oder supranational, d.h. auf EU-Ebene."
"But what is the right level?","Aber welche Ebene ist die richtige?"
"In some areas, decentralization works because it recognizes diverse local or national communities.","In einigen Bereichen funktioniert Dezentralisierung, weil sie die Wünsche der verschiedenen lokalen und nationalen Gemeinschaften in Betracht zieht."
"However, local decisions often have repercussions on citizens in other communities.","In unserer von gegenseitiger Abhängigkeit geprägten Welt, tendieren Entscheidungen, die auf lokaler Ebene gefällt werden jedoch dazu, Einfluss auf Bürger anderer Gemeinschaften und Länder zu haben."
"So certain services should be allocated to a broader geographic unit because they have externalities (that is, interdependence of effects).","Daher sollten bestimmte Leistungen einer größeren geographischen Einheit zugeteilt werden."
"Europe's allocation of governmental powers should be based on the principle that institutions carry out only those activities with clear economies of scale and where differences of opinion are modest.","Die Entscheidungen Europas, wie Regierungsbefugnisse verschiedenen Ebenen zugewiesen werden, sollten auf dem Prinzip basieren, dass Europäische Institutionen ausschließlich für Maßnahmen verantwortlich sind, die eindeutig Größenvorteile haben oder bei welchen die Meinungsverschiedenheiten unter den Mitgliedern geringfügig sind."
"The lower a government activity's externalities, the more it should be localized.","Andere Funktionen - mit geringen externen Effekten und ausgeprägten Meinungsverschiedenheiten - sollten nationalen oder lokalen Regierungen überlassen werden."
"Low externalities imply limited benefits to be gained from centralization; deep differences among citizens imply that the costs of harmonization would be too high.","Die Gründe sind klar: Bei geringfügiger gegenseitiger Abhängigkeit entstehen aus einer Zentralisierung nur begrenzt Vorteile; stark voneinander abweichende Meinungen bedeuten hohe Kosten bei der Harmonisierung."
"The euro, for example, delivers clear advantages of scale by favoring international commerce and avoiding negative externalities.","Der Euro etwa bringt durch den Größeneffekt Vorteile mit sich. Er begünstigt internationalen Handel und vermeidet negative externe Effekte."
"No longer can the lira be devalued to favor Italian exports to the detriment of the French, followed by a French reaction, etc.","Die italienische Lira kann nicht mehr abgewertet werden, um italienische Exporte zum Nachteil der Franzosen zu fördern, gefolgt von einer Reaktion der Franzosen usw. Dennoch sorgen die unvollkommen synchronisierten Konjunkturzyklen der Mitgliedsländer für unterschiedliche Ansichten über die Währungspolitik."
"Although the imperfectly synchronized economic cycles of EU members causes friction over monetary and exchange rate policy, the euro's benefits outweigh the costs of diversity.","Europa hat -zu Recht- entschieden, dass die Vorteile des Euro die Kosten der Diversifizierung aufwiegen."
"In educational policy, however, to impose the same system on all members would not create economies of scale.","Würde man jedoch in der Bildungspolitik allen Mitgliedern das gleiche öffentliche Bildungssystem auferlegen, würde man keinen Größenvorteil schaffen."
"Cultural differences are too strong to win voluntary compliance. It would be absurd to delegate education and culture to a supranational level.","Die kulturellen Unterschiede sind zu stark, und deshalb wäre es absurd, Bildung und Kultur auf eine supranationale Ebene zu delegieren."
"Of the areas of public policy with high economies of scale or externalities, two stand out: the common market and competition; and foreign policy and defense.","Es gibt zwei herausragende Bereiche bei den öffentlichen Aufgaben, die umfangreiche Größenvorteile oder externe Effekte haben: der Gemeinsame Markt und Wettbewerb und die Außenpolitik und Verteidigung."
"The former covers antitrust, trade, and the common currency.","Ersterer umfasst Antitrust, Handel und die gemeinsame Währung."
"Some think that fiscal policies - from the structure of taxation to welfare, to budget balances - should also be harmonized.","Einige sind der Auffassung, dass die Fiskalpolitik -von der Strukturierung der Steuer über Sozialleistungen bis hin zum Ausgleich des Haushalts - ebenfalls harmonisiert werden sollte."
"But national preferences are diverse, and if mechanically imposed, fiscal centralization might incite resistance.","Eine mechanisch durchgeführte Harmonisierung, würde jedoch aufgrund unterschiedlicher nationaler Präferenzen schwierig werden und könnte Widerstand auslösen."
"Nor do centralized fiscal policies have any real raison d'être from a constitutional point of view.","Aus einer verfassungsmäßigen Sicht hat Fiskalpolitik keine wirkliche raison d'être."
"The US Constitution, for example, does not prescribe balanced budgets for the states.","In der amerikanischen Verfassung sind zum Beispiel keine ausgeglichenen Haushalte für die Staaten vorgeschrieben."
"Only in exceptional circumstances is fiscal harmonization justified: prohibitions, say, on fiscal incentives aimed at limiting competition, impeding commerce, or restricting the movement of capital.","Nur unter besonderen Umständen könnte eine fiskalische Harmonisierung gerechtfertigt sein: Verbote von steuerlichen Anreizen etwa, die eingesetzt werden, um den Wettbewerb oder internationalen Handel einzuschränken oder um den Kapitalverkehr zu begrenzen."
"Foreign policy and defense belong, par excellence, at government's apex.","Außen- und Militärpolitik gehören par excellence zur Regierungsspitze."
"There are clear externalities and economies of scale.","Es gibt klare externe Effekte und Größenvorteile."
"It would be absurd if New York pursued a different foreign policy than Texas.","Es wäre absurd, wenn New York in Amerika eine andere Außenpolitik verfolgen würde als Texas."
"Much the same is true in Europe.","In Europa ist es nicht viel anders."
"The addition of new EU members implies that more internal differences will occur, which means that fewer centralized policies are justified.","Die Erweiterung der Union um neue Mitglieder bedeutet, dass es sogar noch mehr interne Differenzen geben wird, was wiederum bedeutet, dass eine weniger zentralisierte Politik gerechtfertigt ist."
"These considerations suggest a series of principles for the Convention to consider:","Diese Erwägungen legen eine Reihe von Prinzipien für die Mitglieder des Konvents nahe:"
"1. The EU Constitution should establish unequivocally which prerogatives belong to Europe and which to member countries.","1. Die Europäische Verfassung sollte eindeutig festlegen, welche Vorrechte Europa und welche den Mitgliedsstaaten gehören."
"When in doubt, the principle of subsidiarity suggests that national states remain supreme;","Im Zweifelsfall legt das Prinzip der Nachordnung nahe, dass Nationalstaaten den Vorrang behalten;"
"2. European-level institutions should guarantee the functioning of markets, including competition, commercial, and monetary policies;","2. Institutionen auf europäischer Ebene sollten die Funktionalität der Märkte, einschließlich Wettbewerb, Wirtschafts- und Währungspolitik gewährleisten;"
"3. Fiscal policy should remain largely decentralized, save for a few exceptions;","3. Fiskalische Bereiche sollten größtenteils dezentralisiert bleiben, abgesehen von weinigen Ausnahmen;"
"4. Foreign policy and defense are areas of federal competence, to be delegated to Europe at a proper time;","4. Außenpolitik und Verteidigung sind Bereiche föderaler Zuständigkeit, die zur rechten Zeit und auf rechte Art und Weise an Europa delegiert werden;"
"5. The creation of new areas of federal competence should be accompanied by decision-making mechanisms found in genuinely representative democracies.","5. Die Schaffung neuer Bereiche föderaler Zuständigkeit sollte von Entscheidungsfindungs-Mechanismen begleitet sein, wie sie bei wahrhaft repräsentativen Demokratien zu finden sind."
"So "No centralization without representation."","Also "Keine Zentralisierung ohne Repräsentation"."
"Today's EU diverges enormously from these principles (see table), as is demonstrated by the fact that agriculture, which represents 2% of European GDP, accounts for 40% of EU expenditures.","Wie die Tabelle zeigt, weicht die EU von heute leider enorm von diesen Prinzipien ab. Die Landwirtschaft, die 2% des europäischen BIP repräsentiert, ist für 40% der europäischen Ausgaben verantwortlich."
"Activities of EU Institutions (percent of total)","Aufteilung nach Tätigkeitsbereichen der Europäischen Union"
"Source of Table: "What Does the European Union do?"","Quelle der Tabelle: "What Does the European Union do?""
"A. Alesina, I. Angeloni &amp; L.Schuknecht, CEPR Discussion Paper no.","A. Alesina, I. Angeloni &amp; L.Schuknecht, CEPR Discussion Paper no."
"3115.","3115."
"Europe faces an historic opportunity.","Europa eröffnet sich eine historische Gelegenheit."
"America's founding fathers wrote a Constitution that has lasted over 200 years.","Die Väter der amerikanischen Verfassung schrieben ein Dokument, dass in seiner grundlegenden Struktur seit über 200 Jahren Bestand hat."
"Members of the European Convention obviously face a far more complex and diverse society-and thus a more daunting constitutional challenge.","Die Gesellschaft, mit der sich die Mitglieder des Europäischen Konvents auseinandersetzen müssen, ist in vielerlei Hinsicht anders und bei weitem komplexer."
"But they can succeed by displaying comparable wisdom and foresight.","Aber sie können vergleichbare Weisheit und Weitsichtigkeit beweisen."
"BEIJING – Before July 2007, most economists agreed that global imbalances were the most important threat to global growth.","PEKING – Bis zum Juli 2007 waren sich die meisten Ökonomen einig, dass die globalen Ungleichgewichte die größte Gefahr für das globale Wachstum darstellten."
"It was argued that the United States’ rising net foreign debt-to-GDP ratio – the result of chronic current-account deficits – would put a sharp brake on capital inflows, in turn weakening the dollar, driving up interest rates, and plunging the US economy into crisis.","Es wurde behauptet, dass die steigende Netto-Auslandsschuldenquote der Vereinigten Staaten – das Ergebnis chronischer Leistungsbilanzdefizite – die Kapitalzuflüsse stark drosseln würde, was wiederum den Dollar schwächen, die Zinssätze in die Höhe treiben und die US-Wirtschaft in die Krise stürzen würde."
"But this scenario failed to materialize.","Doch hat sich dieses Szenario nicht bewahrheitet."
"Instead, the crisis stemmed from the US sub-prime debacle, which quickly dragged the global economy into its deepest recession since the 1930’s.","Stattdessen ist die Krise auf das US-Hypothekendebakel zurückzuführen, das die Weltwirtschaft rasch in die tiefste Rezession seit den 1930er Jahren hinabzog."
"Most economists failed to foresee the economic dynamics that actually led to the crisis, because they failed to pay enough attention to the rapid increase in US total debt.","Die meisten Ökonomen haben die wirtschaftliche Dynamik, die tatsächlich zur Krise führte, nicht vorhergesehen, da sie die rasante Zunahme der US-Gesamtverschuldung nicht genug beachteten."
"Instead, they focused exclusively on US foreign debt, ignoring household debt (mortgage and consumer debt), public debt, business debt, and financial debt.","Stattdessen konzentrierten sie sich ausschließlich auf die US-Auslandsschulden und ignorierten die private Verschuldung (Hypotheken- und Verbraucherschulden), öffentliche Schulden, Unternehmensschulden und Finanzschulden."
"In particular, they should have paid greater attention to the sustainability of US mortgage and consumer debt.","Insbesondere auf die Tragfähigkeit der amerikanischen Hypotheken- und Verbraucherschulden hätten sie mehr achten sollen."
